x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max,Min Separation
11.290322,23.290323,0.033641,5.656855,0.707107,-0.707107,31.000000,11.000000,23.000000,3.239028,9.290323,25.290323,13.290322,21.290321,9.000000,14.000000,21.000000,26.000000,340282346638528859811704183484516925440.000000
35.799999,23.333334,0.042309,5.423300,0.163539,-0.986537,30.000000,36.000000,23.000000,2.816896,35.348373,26.057749,36.235291,20.707464,33.000000,38.000000,21.000000,26.000000,340282346638528859811704183484516925440.000000
60.212120,23.212122,0.189405,6.624702,0.953636,0.300962,33.000000,60.000000,23.000000,2.722534,56.943062,22.180424,63.260612,24.174212,57.000000,63.000000,21.000000,26.000000,340282346638528859811704183484516925440.000000
84.685715,23.171429,0.318732,7.173734,0.994266,-0.106937,35.000000,85.000000,23.000000,2.845956,80.954048,23.572783,88.086647,22.805647,81.000000,88.000000,21.000000,26.000000,340282346638528859811704183484516925440.000000
109.000000,23.102564,0.451483,8.000000,1.000000,0.000000,39.000000,110.000000,24.000000,2.102539,105.000000,23.102564,113.000000,23.102564,105.000000,113.000000,21.000000,25.000000,340282346638528859811704183484516925440.000000
133.604645,23.232557,0.552321,9.082443,0.999588,0.028718,43.000000,131.000000,24.000000,2.329100,128.968414,23.099358,138.047119,23.360191,129.000000,138.000000,21.000000,25.000000,340282346638528859811704183484516925440.000000
158.000000,23.108696,0.607385,10.000000,1.000000,0.000000,46.000000,155.000000,24.000000,2.108643,153.000000,23.108696,163.000000,23.108696,153.000000,163.000000,21.000000,25.000000,340282346638528859811704183484516925440.000000
178.791672,23.125000,0.101614,5.339847,0.248064,-0.968744,24.000000,179.000000,23.000000,2.356201,178.052063,26.013332,179.376694,20.840389,177.000000,181.000000,21.000000,26.000000,340282346638528859811704183484516925440.000000
186.125000,23.333334,0.188957,5.381208,0.335532,0.942029,24.000000,186.000000,23.000000,2.225589,185.260818,20.907099,187.066391,25.976353,184.000000,188.000000,21.000000,26.000000,340282346638528859811704183484516925440.000000
161.060608,43.287880,0.095416,8.688161,0.987497,0.157637,66.000000,161.000000,43.000000,4.224584,156.744766,42.598930,165.324295,43.968502,157.000000,165.000000,39.000000,47.000000,340282346638528859811704183484516925440.000000
186.021744,43.260868,0.100362,10.146351,0.999261,0.038435,92.000000,187.000000,44.000000,4.812958,180.920593,43.064659,191.059433,43.454636,181.000000,191.000000,39.000000,48.000000,340282346638528859811704183484516925440.000000
86.194443,43.166668,0.024821,6.299674,0.972973,-0.230917,36.000000,87.000000,43.000000,3.125965,82.983109,43.928818,89.112526,42.474117,83.000000,89.000000,40.000000,46.000000,340282346638528859811704183484516925440.000000
111.326530,43.346939,0.074553,7.539127,0.965641,0.259881,49.000000,112.000000,43.000000,3.611829,107.635696,42.353634,114.915787,44.312908,108.000000,115.000000,40.000000,47.000000,340282346638528859811704183484516925440.000000
136.260864,43.239132,0.166595,7.883103,0.952960,-0.303096,46.000000,137.000000,43.000000,3.468759,132.502121,44.434628,140.014404,42.045292,133.000000,140.000000,40.000000,46.000000,340282346638528859811704183484516925440.000000
36.090908,43.090908,0.096344,4.949747,0.707107,0.707107,22.000000,36.000000,43.000000,2.121336,34.500000,41.500000,38.000000,45.000000,34.000000,38.000000,41.000000,45.000000,340282346638528859811704183484516925440.000000
61.250000,42.950001,0.111249,4.990216,0.648849,-0.760917,20.000000,61.000000,42.000000,2.328612,59.711617,44.754089,62.949512,40.956947,59.000000,63.000000,41.000000,45.000000,340282346638528859811704183484516925440.000000
10.692307,62.923077,0.135754,3.592236,0.481209,0.876606,13.000000,10.000000,63.000000,1.590515,9.911051,61.499882,11.639668,64.648857,9.000000,12.000000,61.000000,65.000000,340282346638528859811704183484516925440.000000
36.346153,63.346153,0.120558,4.949748,0.707107,0.707107,26.000000,36.000000,64.000000,2.121336,34.500000,61.500000,38.000000,65.000000,34.000000,39.000000,61.000000,66.000000,340282346638528859811704183484516925440.000000
61.025002,63.325001,0.386600,8.384745,0.986354,-0.164638,40.000000,62.000000,64.000000,2.626707,56.837097,64.024025,65.107422,62.643581,57.000000,65.000000,61.000000,66.000000,340282346638528859811704183484516925440.000000
86.208336,63.229168,0.516461,10.048733,0.999660,0.026065,48.000000,85.000000,63.000000,2.827158,80.997566,63.093304,91.042885,63.355221,81.000000,91.000000,61.000000,66.000000,340282346638528859811704183484516925440.000000
110.821426,63.053570,0.615927,12.056881,0.999507,-0.031399,56.000000,111.000000,63.000000,2.172369,104.976036,63.237202,117.026970,62.858624,105.000000,117.000000,61.000000,65.000000,340282346638528859811704183484516925440.000000
136.075760,63.121212,0.656674,14.010925,0.999929,-0.011920,66.000000,134.000000,63.000000,2.168957,128.990524,63.205673,143.000458,63.038666,129.000000,143.000000,61.000000,65.000000,340282346638528859811704183484516925440.000000
161.223526,63.105881,0.748928,18.005463,0.999983,-0.005760,85.000000,157.000000,63.000000,2.153317,152.000916,63.159008,170.006073,63.055290,152.000000,170.000000,61.000000,65.000000,340282346638528859811704183484516925440.000000
186.263733,63.252747,0.781191,20.002686,0.999999,-0.001352,91.000000,185.000000,63.000000,2.263670,175.999008,63.266628,196.001678,63.239578,176.000000,196.000000,61.000000,65.000000,340282346638528859811704183484516925440.000000
11.250000,83.474998,0.624448,10.061584,0.999435,-0.033619,40.000000,9.000000,84.000000,1.650208,5.988294,83.651993,16.044191,83.313736,6.000000,16.000000,82.000000,85.000000,340282346638528859811704183484516925440.000000
36.314816,83.685188,0.648491,12.030087,0.999875,0.015791,54.000000,35.000000,83.000000,2.351077,29.990757,83.585312,42.019341,83.775284,30.000000,42.000000,82.000000,86.000000,340282346638528859811704183484516925440.000000
61.000000,84.067795,0.615727,12.000000,1.000000,0.000000,59.000000,61.000000,84.000000,2.067871,55.000000,84.067795,67.000000,84.067795,55.000000,67.000000,82.000000,86.000000,340282346638528859811704183484516925440.000000
86.285713,84.158730,0.579435,12.031673,0.999095,0.042532,63.000000,84.000000,84.000000,2.723641,80.004623,83.891342,92.025414,84.403069,80.000000,92.000000,82.000000,87.000000,340282346638528859811704183484516925440.000000
111.246376,84.536232,0.526192,12.036240,0.999815,0.019230,69.000000,111.000000,85.000000,2.607417,104.992004,84.415939,117.026016,84.647392,105.000000,117.000000,82.000000,87.000000,340282346638528859811704183484516925440.000000
136.164185,84.671638,0.560730,12.004761,0.999997,0.002397,67.000000,137.000000,85.000000,2.679680,129.998428,84.656860,142.003143,84.685638,130.000000,142.000000,82.000000,87.000000,340282346638528859811704183484516925440.000000
161.112671,85.239433,0.538299,12.064560,0.999344,-0.036216,71.000000,160.000000,85.000000,3.132813,154.980484,85.461662,167.037140,85.024734,155.000000,167.000000,82.000000,88.000000,340282346638528859811704183484516925440.000000
186.051285,85.743591,0.484794,12.068335,0.999714,-0.023923,78.000000,186.000000,86.000000,3.350598,179.973419,85.889038,192.038300,85.600319,180.000000,192.000000,83.000000,89.000000,340282346638528859811704183484516925440.000000
11.210526,103.087723,0.596473,12.025229,0.999914,-0.013132,57.000000,11.000000,103.000000,2.142699,4.989092,103.169434,17.013285,103.011513,5.000000,17.000000,101.000000,105.000000,340282346638528859811704183484516925440.000000
36.473682,103.228073,0.535541,11.018563,0.999955,-0.009531,57.000000,36.000000,103.000000,2.776857,30.993139,103.280312,42.011204,103.175293,31.000000,42.000000,101.000000,106.000000,340282346638528859811704183484516925440.000000
61.517242,103.362068,0.517252,11.063362,0.999385,-0.035063,58.000000,61.000000,104.000000,2.687986,55.984428,103.556183,67.040985,103.168274,56.000000,67.000000,101.000000,106.000000,340282346638528859811704183484516925440.000000
86.271187,103.525421,0.444048,11.055574,0.999540,0.030316,59.000000,86.000000,104.000000,3.481439,80.958618,103.364296,92.009117,103.699448,81.000000,92.000000,101.000000,107.000000,340282346638528859811704183484516925440.000000
111.232140,103.642860,0.409917,11.025230,0.999542,0.030271,56.000000,111.000000,104.000000,3.392576,105.955086,103.483047,116.975266,103.816788,106.000000,117.000000,101.000000,107.000000,340282346638528859811704183484516925440.000000
136.149994,103.983330,0.325640,11.035643,0.998814,0.048687,60.000000,136.000000,104.000000,4.067401,130.915756,103.728188,141.938309,104.265480,131.000000,142.000000,101.000000,108.000000,340282346638528859811704183484516925440.000000
161.064514,104.193550,0.094316,10.193171,0.974054,0.226318,62.000000,162.000000,104.000000,5.669885,155.775848,102.964745,165.704544,105.271645,156.000000,166.000000,101.000000,110.000000,340282346638528859811704183484516925440.000000
186.085709,104.771431,0.076722,10.431414,0.247580,0.968868,70.000000,186.000000,104.000000,6.167996,185.053207,100.730873,187.635803,110.837524,180.000000,192.000000,101.000000,111.000000,340282346638528859811704183484516925440.000000
